"Date","Price","Open","High","Low","Vol.","Change %"
"30/04/2009","260.03","244.79","268.81","243.87","141.48M","9.75%"
"29/04/2009","236.94","216.16","238.33","216.16","107.60M","10.44%"
"28/04/2009","214.54","210.85","216.39","203.92","58.16M","-0.85%"
"27/04/2009","216.39","210.61","227.24","209.69","76.12M","-0.74%"
"24/04/2009","218.00","206.23","219.62","204.15","79.51M","8.63%"
"23/04/2009","200.68","197.45","206.69","196.30","59.23M","-0.35%"
"22/04/2009","201.38","192.14","202.07","185.67","81.92M","9.55%"
"21/04/2009","183.83","187.52","198.14","175.60","101.25M","-4.78%"
"20/04/2009","193.06","207.84","220.78","185.44","94.00M","-7.93%"
"17/04/2009","209.69","201.38","221.47","199.76","116.12M","7.08%"
"16/04/2009","195.83","189.37","199.30","185.44","116.81M","7.72%"
"15/04/2009","181.79","171.72","184.01","169.97","71.40M","0.66%"
"14/04/2009","180.59","172.09","190.75","171.91","123.44M","10.14%"
"09/04/2009","163.96","152.97","169.51","151.86","82.37M","12.48%"
"08/04/2009","145.77","138.56","151.96","138.56","65.92M","0.07%"
"07/04/2009","145.67","162.21","162.21","145.67","70.33M","-8.64%"
"06/04/2009","159.44","163.10","168.21","152.88","71.10M","1.29%"
"03/04/2009","157.41","156.11","164.43","152.79","61.18M","1.19%"
"02/04/2009","155.56","150.11","158.33","150.11","88.38M","7.26%"
"01/04/2009","145.03","138.50","145.95","132.37","104.54M","6.09%"
"31/03/2009","136.71","137.36","148.26","131.36","117.37M","-0.74%"
"30/03/2009","137.73","156.11","156.11","135.33","131.97M","-14.21%"
"27/03/2009","160.55","133.02","163.13","132.00","213.87M","24.05%"
"26/03/2009","129.42","115.47","138.65","114.08","144.33M","13.54%"
"25/03/2009","113.99","109.00","114.54","104.11","77.51M","4.75%"
"24/03/2009","108.82","120.09","122.86","105.49","89.48M","-3.05%"
"23/03/2009","112.24","101.61","112.24","100.69","138.93M","15.72%"
"20/03/2009","96.99","99.76","101.43","93.58","158.05M","-6.67%"
"19/03/2009","103.92","92.37","106.88","91.27","250.14M","17.19%"
"18/03/2009","88.68","86.74","90.25","84.34","66.82M","5.15%"
"17/03/2009","84.34","82.95","88.31","80.09","81.61M","0.44%"
"16/03/2009","83.97","75.65","84.34","74.82","123.52M","22.67%"
"13/03/2009","68.45","71.13","77.41","68.45","109.55M","3.06%"
"12/03/2009","66.42","64.20","66.88","60.69","64.51M","2.72%"
"11/03/2009","64.66","64.66","69.93","63.65","88.88M","3.70%"
"10/03/2009","62.35","56.35","67.99","54.87","128.36M","9.93%"
"09/03/2009","56.72","53.58","57.55","50.81","122.57M","-5.25%"
"06/03/2009","59.86","62.54","65.59","57.00","83.32M","-1.07%"
"05/03/2009","60.51","78.43","79.63","60.32","121.05M","-24.10%"
"04/03/2009","79.72","77.59","82.68","76.12","43.96M","5.51%"
"03/03/2009","75.56","81.66","83.78","70.67","106.17M","-6.73%"
"02/03/2009","81.01","80.83","85.63","78.70","81.26M","-6.11%"
"27/02/2009","86.28","99.76","101.61","83.97","161.44M","-17.34%"
"26/02/2009","104.38","101.15","110.94","99.86","132.28M","7.00%"
"25/02/2009","97.55","95.98","99.76","93.67","73.83M","7.54%"
"24/02/2009","90.71","86.83","93.76","86.28","68.18M","-0.50%"
"23/02/2009","91.17","90.99","96.81","89.23","64.86M","3.67%"
"20/02/2009","87.94","89.97","91.91","87.29","71.04M","-5.84%"
"19/02/2009","93.39","88.49","95.88","87.29","98.69M","8.35%"
"18/02/2009","86.19","90.53","92.10","83.78","83.24M","-3.41%"
"17/02/2009","89.23","87.76","94.59","85.84","85.95M","-0.52%"
"16/02/2009","89.70","88.40","96.07","85.45","76.01M","-3.38%"
"13/02/2009","92.84","100.23","101.89","82.40","127.44M","-4.28%"
"12/02/2009","96.99","99.76","99.79","94.68","66.20M","-3.23%"
"11/02/2009","100.23","101.61","104.85","97.46","80.20M","-4.32%"
"10/02/2009","104.75","103.03","111.68","101.61","114.52M","-2.41%"
"09/02/2009","107.34","94.13","108.91","94.13","156.23M","10.88%"
"06/02/2009","96.81","93.76","101.89","92.93","109.41M","4.81%"
"05/02/2009","92.37","87.46","93.94","84.98","79.32M","3.20%"
"04/02/2009","89.51","87.76","92.93","83.97","59.52M","4.98%"
"03/02/2009","85.26","89.42","90.71","83.23","52.84M","-2.74%"
"02/02/2009","87.66","89.42","95.52","84.62","77.27M","-10.56%"
"30/01/2009","98.01","93.30","102.54","91.45","96.79M","5.79%"
"29/01/2009","92.65","96.99","102.54","85.26","81.24M","-6.26%"
"28/01/2009","98.84","89.60","108.54","88.13","151.58M","18.88%"
"27/01/2009","83.14","86.00","94.31","78.33","129.25M","1.46%"
"26/01/2009","81.94","58.20","84.15","55.52","261.96M","73.23%"
