"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2009","77.35","75.10","77.61","74.01","2.46M","5.32%"
"01/05/2009","73.44","74.06","74.61","72.47","1.85M","-1.57%"
"30/04/2009","74.61","73.55","76.00","72.93","3.90M","4.13%"
"29/04/2009","71.65","72.37","72.56","71.01","3.08M","0.25%"
"28/04/2009","71.47","70.76","72.45","69.93","1.84M","-0.76%"
"27/04/2009","72.02","71.48","72.57","70.66","1.59M","-0.76%"
"24/04/2009","72.57","70.46","73.00","70.28","2.83M","3.63%"
"23/04/2009","70.03","69.91","70.27","68.29","2.77M","1.88%"
"22/04/2009","68.74","66.23","70.35","65.90","3.14M","2.35%"
"21/04/2009","67.16","64.58","67.43","64.50","2.75M","2.88%"
"20/04/2009","65.28","67.94","68.02","65.13","2.03M","-5.09%"
"17/04/2009","68.78","69.41","69.85","68.36","2.06M","-0.82%"
"16/04/2009","69.35","70.00","70.40","68.93","2.88M","0.00%"
"15/04/2009","69.35","68.12","69.48","67.56","1.45M","1.30%"
"14/04/2009","68.46","68.73","69.26","67.79","1.51M","-1.62%"
"13/04/2009","69.59","68.62","70.10","67.65","1.48M","0.40%"
"09/04/2009","69.31","69.68","70.78","68.81","1.87M","1.85%"
"08/04/2009","68.05","66.94","68.72","66.34","1.41M","1.70%"
"07/04/2009","66.91","68.16","68.68","66.61","1.68M","-3.59%"
"06/04/2009","69.40","69.57","69.67","68.06","1.55M","-1.32%"
"03/04/2009","70.33","68.19","70.33","68.19","1.98M","2.84%"
"02/04/2009","68.39","71.40","71.53","68.11","3.70M","-0.86%"
"01/04/2009","68.98","66.17","69.63","65.47","2.89M","2.51%"
"31/03/2009","67.29","67.11","68.30","65.81","2.26M","2.08%"
"30/03/2009","65.92","66.86","66.91","65.11","2.51M","-3.51%"
"27/03/2009","68.32","68.96","69.95","67.59","2.20M","-2.20%"
"26/03/2009","69.86","68.47","69.99","67.90","2.13M","2.90%"
"25/03/2009","67.89","67.05","68.51","65.84","2.02M","2.29%"
"24/03/2009","66.37","65.87","66.95","64.58","2.21M","-0.45%"
"23/03/2009","66.67","63.79","66.67","62.00","2.14M","5.46%"
"20/03/2009","63.22","64.16","64.91","62.46","2.53M","-1.91%"
"19/03/2009","64.45","65.28","66.10","64.21","2.07M","0.17%"
"18/03/2009","64.34","63.55","64.57","62.67","3.04M","0.31%"
"17/03/2009","64.14","62.79","64.14","61.46","2.43M","2.26%"
"16/03/2009","62.72","64.30","65.15","62.59","3.35M","-2.08%"
"13/03/2009","64.05","62.73","64.44","61.95","3.55M","2.83%"
"12/03/2009","62.29","59.85","62.56","59.05","3.14M","3.73%"
"11/03/2009","60.05","58.56","60.60","58.44","3.27M","3.59%"
"10/03/2009","57.97","55.05","58.11","54.56","4.43M","7.39%"
"09/03/2009","53.98","53.35","55.28","53.35","3.54M","-2.28%"
"06/03/2009","55.24","55.01","56.50","53.67","2.58M","0.86%"
"05/03/2009","54.77","55.29","56.22","54.20","3.05M","-3.56%"
"04/03/2009","56.79","56.34","57.65","55.75","3.69M","2.77%"
"03/03/2009","55.26","54.37","56.12","53.91","3.79M","2.47%"
"02/03/2009","53.93","55.45","56.27","53.66","4.03M","-4.97%"
"27/02/2009","56.75","57.21","58.79","56.62","4.63M","-3.02%"
"26/02/2009","58.52","59.91","61.70","58.50","3.33M","-1.30%"
"25/02/2009","59.29","61.11","61.26","58.80","2.65M","-2.68%"
"24/02/2009","60.92","60.09","61.32","58.41","3.52M","2.33%"
"23/02/2009","59.53","64.33","64.33","59.38","3.93M","-6.12%"
"20/02/2009","63.41","61.00","64.15","60.81","2.81M","0.79%"
"19/02/2009","62.91","64.13","66.04","62.59","3.22M","-1.75%"
"18/02/2009","64.03","65.38","66.00","63.47","4.62M","-1.39%"
"17/02/2009","64.93","65.15","66.35","64.84","5.02M","-3.75%"
"13/02/2009","67.46","68.55","68.79","67.34","4.35M","-1.79%"
"12/02/2009","68.69","66.73","68.75","65.50","3.62M","1.12%"
"11/02/2009","67.93","68.19","68.82","67.11","3.74M","0.09%"
"10/02/2009","67.87","69.19","70.32","67.49","6.47M","-3.22%"
"09/02/2009","70.13","69.51","70.58","69.11","4.45M","0.72%"
"06/02/2009","69.63","67.40","69.79","66.78","3.85M","3.69%"
"05/02/2009","67.15","63.78","67.38","63.78","4.26M","3.44%"
"04/02/2009","64.92","63.10","65.31","63.00","4.37M","4.31%"
"03/02/2009","62.24","62.51","62.70","61.50","4.49M","0.78%"
"02/02/2009","61.76","61.02","62.19","60.36","3.19M","-0.80%"
"30/01/2009","62.26","63.25","63.55","61.70","4.50M","-1.32%"
"29/01/2009","63.09","61.00","64.30","61.00","4.50M","-1.42%"
"28/01/2009","64.00","61.41","65.99","61.41","3.80M","7.82%"
"27/01/2009","59.36","60.21","61.00","59.04","2.63M","-0.85%"
"26/01/2009","59.87","60.11","62.00","59.25","1.94M","-0.28%"
"23/01/2009","60.04","59.28","60.93","57.61","2.38M","0.10%"
"22/01/2009","59.98","58.80","60.89","58.67","3.10M","-1.49%"
"21/01/2009","60.89","59.31","61.10","58.26","3.58M","2.84%"
"20/01/2009","59.21","61.60","62.58","59.04","3.45M","-5.02%"
"16/01/2009","62.34","61.86","62.54","60.81","2.81M","2.28%"
"15/01/2009","60.95","60.11","61.21","59.05","3.76M","1.40%"
"14/01/2009","60.11","60.18","60.92","59.19","3.98M","-2.09%"
"13/01/2009","61.39","60.45","61.74","59.43","2.78M","0.82%"
"12/01/2009","60.89","61.96","62.18","60.08","2.76M","-2.20%"
"09/01/2009","62.26","63.16","63.65","61.79","1.96M","-1.46%"
"08/01/2009","63.18","62.41","64.00","61.84","2.19M","0.96%"
"07/01/2009","62.58","65.02","65.86","62.31","2.17M","-5.77%"
"06/01/2009","66.41","64.75","67.11","64.64","2.57M","3.98%"
"05/01/2009","63.87","61.50","64.63","60.78","2.97M","2.31%"
"02/01/2009","62.43","59.77","63.00","58.84","2.01M","5.17%"
"31/12/2008","59.36","58.03","59.90","57.91","1.79M","1.21%"
"30/12/2008","58.65","56.78","58.74","56.55","1.86M","3.86%"
"29/12/2008","56.47","56.16","57.10","55.28","1.27M","0.44%"
"26/12/2008","56.22","56.08","56.37","54.86","801.26K","1.15%"
"24/12/2008","55.58","56.37","56.37","55.10","701.28K","-0.55%"
"23/12/2008","55.89","57.60","57.61","55.49","1.53M","-0.36%"
"22/12/2008","56.09","58.09","58.09","55.21","1.87M","-2.86%"
"19/12/2008","57.74","57.86","59.78","57.35","3.01M","0.31%"
"18/12/2008","57.56","58.93","59.90","57.16","2.36M","-2.11%"
"17/12/2008","58.80","57.55","59.25","57.55","3.03M","0.22%"
"16/12/2008","58.67","56.02","58.93","55.44","3.24M","5.85%"
"15/12/2008","55.43","57.45","57.46","54.33","1.68M","-0.63%"
"12/12/2008","55.78","54.97","56.03","53.58","2.46M","0.02%"
"11/12/2008","55.77","58.45","59.70","55.12","2.69M","-4.81%"
"10/12/2008","58.59","56.79","59.57","56.79","3.74M","2.88%"
"09/12/2008","56.95","57.53","59.44","56.06","2.22M","-3.98%"
"08/12/2008","59.31","57.56","59.80","56.56","3.08M","6.27%"
"05/12/2008","55.81","51.83","55.96","49.82","3.07M","6.92%"
"04/12/2008","52.20","52.56","53.59","51.16","2.71M","-3.69%"
"03/12/2008","54.20","52.22","54.95","52.22","2.40M","-1.78%"
"02/12/2008","55.18","53.19","56.47","52.19","3.20M","6.92%"
"01/12/2008","51.61","57.69","57.69","51.58","3.49M","-12.60%"
"28/11/2008","59.05","59.03","59.77","57.35","1.12M","-0.54%"
"26/11/2008","59.37","56.51","59.39","55.06","2.91M","0.87%"
"25/11/2008","58.86","57.50","59.99","55.93","2.97M","4.81%"
"24/11/2008","56.16","54.94","58.30","53.01","4.57M","3.37%"
"21/11/2008","54.33","49.03","54.84","49.03","5.25M","13.66%"
"20/11/2008","47.80","52.73","54.83","47.40","4.99M","-11.22%"
"19/11/2008","53.84","57.22","58.77","53.48","3.74M","-6.41%"
"18/11/2008","57.53","57.62","58.77","55.65","2.78M","-0.59%"
"17/11/2008","57.87","58.37","61.11","57.85","1.89M","-2.67%"
"14/11/2008","59.46","61.53","63.23","59.46","2.30M","-4.53%"
"13/11/2008","62.28","58.26","62.55","54.58","4.11M","10.05%"
"12/11/2008","56.59","59.36","59.71","56.42","3.39M","-5.43%"
"11/11/2008","59.84","62.00","62.99","58.37","2.42M","-5.38%"
"10/11/2008","63.24","66.13","66.85","62.31","2.51M","-0.35%"
"07/11/2008","63.46","60.82","63.53","60.46","2.16M","5.40%"
"06/11/2008","60.21","62.65","64.16","59.92","2.58M","-4.75%"
"05/11/2008","63.21","66.86","68.27","63.18","2.39M","-7.06%"
"04/11/2008","68.01","64.86","68.30","64.26","3.08M","7.85%"
"03/11/2008","63.06","64.94","66.42","62.55","2.26M","-3.21%"
"31/10/2008","65.15","63.39","66.61","62.67","3.07M","1.94%"
"30/10/2008","63.91","65.49","69.28","60.33","4.54M","3.57%"
"29/10/2008","61.71","57.50","65.20","54.61","5.32M","7.32%"
"28/10/2008","57.50","52.35","57.99","50.00","4.48M","14.86%"
"27/10/2008","50.06","53.00","54.24","50.05","3.25M","-6.92%"
"24/10/2008","53.78","53.23","56.41","51.03","4.36M","-5.37%"
"23/10/2008","56.83","59.45","60.62","54.56","4.50M","-4.07%"
"22/10/2008","59.24","61.03","63.49","57.50","5.60M","-9.29%"
"21/10/2008","65.31","70.62","70.62","64.87","3.54M","-8.04%"
"20/10/2008","71.02","65.04","71.12","63.82","3.73M","10.62%"
"17/10/2008","64.20","62.62","67.12","61.53","3.51M","0.52%"
"16/10/2008","63.87","61.55","63.94","58.89","5.60M","3.03%"
"15/10/2008","61.99","66.50","68.17","61.96","3.38M","-8.41%"
"14/10/2008","67.68","71.19","74.48","66.07","3.40M","-1.87%"
"13/10/2008","68.97","63.37","69.47","62.01","3.39M","12.70%"
"10/10/2008","61.20","58.86","65.56","55.97","6.36M","-0.10%"
"09/10/2008","61.26","64.61","66.62","61.26","4.48M","-5.07%"
"08/10/2008","64.53","64.89","68.26","63.60","5.89M","-1.72%"
"07/10/2008","65.66","69.70","70.70","65.54","5.02M","-5.09%"
"06/10/2008","69.18","71.33","71.33","66.41","5.18M","-4.91%"
"03/10/2008","72.75","71.12","74.40","70.88","6.05M","4.30%"
"02/10/2008","69.75","70.00","70.95","69.00","4.63M","-0.78%"
"01/10/2008","70.30","71.17","71.50","69.81","2.52M","-2.01%"
"30/09/2008","71.74","71.94","73.46","70.94","3.66M","1.99%"
"29/09/2008","70.34","72.56","73.40","67.78","5.99M","-5.14%"
"26/09/2008","74.15","76.33","77.35","73.73","5.82M","-4.83%"
"25/09/2008","77.91","78.94","78.97","77.22","3.90M","-0.88%"
"24/09/2008","78.60","77.60","79.10","77.26","5.10M","-1.76%"
"23/09/2008","80.01","83.00","83.00","79.81","4.15M","-4.01%"
"22/09/2008","83.35","87.33","87.44","83.05","2.98M","-4.91%"
"19/09/2008","87.65","85.69","87.95","79.96","3.95M","6.68%"
"18/09/2008","82.16","83.76","83.76","79.67","4.80M","-0.57%"
"17/09/2008","82.63","84.03","85.22","81.68","3.29M","-3.47%"
"16/09/2008","85.60","83.49","86.03","82.00","2.67M","1.83%"
"15/09/2008","84.06","84.64","87.64","83.58","2.35M","-3.16%"
"12/09/2008","86.80","84.60","86.96","84.33","1.70M","2.01%"
"11/09/2008","85.09","81.57","85.20","81.48","2.69M","2.54%"
"10/09/2008","82.98","82.71","84.02","81.52","2.49M","1.31%"
"09/09/2008","81.91","84.21","84.94","81.82","3.10M","-2.95%"
"08/09/2008","84.40","87.76","88.00","83.46","3.48M","-2.01%"
"05/09/2008","86.13","84.78","86.56","82.55","3.10M","1.14%"
"04/09/2008","85.16","87.22","87.50","84.02","2.12M","-2.91%"
"03/09/2008","87.71","88.80","90.52","86.42","2.14M","-1.33%"
"02/09/2008","88.89","91.27","91.27","88.89","1.63M","-1.06%"
"29/08/2008","89.84","91.01","91.36","89.75","1.11M","-1.27%"
"28/08/2008","91.00","90.89","91.67","90.34","855.04K","0.74%"
"27/08/2008","90.33","89.22","90.66","89.22","779.96K","0.59%"
"26/08/2008","89.80","88.80","89.94","88.55","1.14M","0.88%"
"25/08/2008","89.02","90.08","90.46","88.49","961.41K","-1.93%"
"22/08/2008","90.77","91.17","92.37","90.44","1.39M","-0.07%"
"21/08/2008","90.83","89.15","90.97","88.97","1.56M","1.30%"
"20/08/2008","89.66","88.01","89.99","88.00","1.70M","1.47%"
"19/08/2008","88.36","87.98","89.58","87.88","2.40M","-0.27%"
"18/08/2008","88.60","89.75","90.26","88.43","1.58M","-0.75%"
"15/08/2008","89.27","89.47","90.01","88.45","1.55M","-0.19%"
"14/08/2008","89.44","89.25","90.03","88.31","1.90M","-0.66%"
"13/08/2008","90.03","87.83","90.71","87.31","2.31M","2.35%"
"12/08/2008","87.96","87.97","88.75","87.50","1.98M","-0.27%"
"11/08/2008","88.20","90.30","90.32","86.68","2.03M","-2.33%"
"08/08/2008","90.30","88.88","91.20","88.25","1.86M","1.24%"
"07/08/2008","89.19","90.88","91.16","89.08","1.69M","-2.58%"
"06/08/2008","91.55","89.62","92.15","89.06","2.42M","1.69%"
"05/08/2008","90.03","89.28","90.68","88.64","2.55M","1.52%"
"04/08/2008","88.68","91.20","91.82","88.30","2.57M","-3.07%"
"01/08/2008","91.49","93.25","93.77","91.16","1.52M","-2.39%"
"31/07/2008","93.73","93.98","95.34","93.49","1.58M","-0.94%"
"30/07/2008","94.62","93.56","94.87","92.86","2.01M","0.40%"
"29/07/2008","94.24","92.48","94.50","92.48","1.76M","1.60%"
"28/07/2008","92.76","94.14","94.56","92.76","1.72M","-1.59%"
"25/07/2008","94.26","92.96","94.81","92.51","1.70M","1.70%"
"24/07/2008","92.68","95.89","96.71","92.53","2.73M","-3.12%"
"23/07/2008","95.66","93.31","96.05","91.93","3.65M","4.03%"
"22/07/2008","91.95","91.65","92.73","90.02","2.31M","-0.22%"
"21/07/2008","92.15","91.23","92.23","90.73","1.14M","1.22%"
"18/07/2008","91.04","92.57","93.42","90.10","2.64M","-1.38%"
"17/07/2008","92.31","91.01","94.03","90.58","2.95M","1.07%"
"16/07/2008","91.33","91.08","91.33","89.86","2.24M","0.09%"
"15/07/2008","91.25","91.01","92.57","89.74","1.78M","-0.28%"
"14/07/2008","91.51","92.73","92.73","91.05","1.26M","0.05%"
"11/07/2008","91.46","91.76","92.42","90.24","2.45M","-0.96%"
"10/07/2008","92.35","92.75","93.41","90.95","2.40M","1.26%"
"09/07/2008","91.20","92.72","94.09","91.19","1.91M","-1.53%"
"08/07/2008","92.62","91.69","94.23","90.98","3.11M","-0.93%"
"07/07/2008","93.49","94.40","96.31","92.71","2.26M","-0.74%"
"03/07/2008","94.19","91.55","94.59","89.16","2.24M","3.54%"
"02/07/2008","90.97","94.59","95.13","90.97","3.37M","-3.66%"
